Status ID,Status Type,Status Link,Status Name,Status Created Time,Status Message,Status Shares Count,Status Likes Count,Status Comments Count,Comment ID,Comment Created Time,Comment Message,Comment From,Comment Likes Count,Reply ID,Reply Created Time,Reply Message,Reply From,Reply Likes Count
157864337622558_1149802038428778,status,<no link>,<no name>,2016-11-10 20:08:07,"Big congrats 17-yr old Lui Yuan Chow for a new Singapore record over 3000m: 8:35.92!

Breaks old record of 8:43.87 by 2003 SEA Games 1500m bronze medalist and national record holder, Chamkaur Singh (3:51.59). 

#RoadToKL #SEAGames2017",0,41,0
157864337622558_1149108988498083,photo,https://www.facebook.com/sohruiyong/photos/a.172796229462702.42103.157864337622558/1149108988498083/?type=3,Timeline Photos,2016-11-09 23:17:59,"While 9-year old Atlas' dad was getting in a solid workout on the track, I was put on babysitting duty. Big thanks to my friends for helping to entertain Atlas! He ran 10 laps around the track in lane 5 then got to meet Singapore's top 1500m runner Raviin Kumar, 400m hurdle record holder Dipna Lim-Prasad, and 400m record holder Zubin Muncherji. #SingaporeAthletics",0,20,0
157864337622558_1148937738515208,photo,https://www.facebook.com/sohruiyong/photos/a.172796229462702.42103.157864337622558/1148937738515208/?type=3,Timeline Photos,2016-11-09 20:44:16,"Where in Singapore can you get Singapore's #1 para-runner, 1500m runner, and marathoner cheering you on in a workout? Nowhere but the ASICS Running Club . Join us every Wednesday for a workout led by Andy Neo and some of the best runners in Singapore. Zac Leow, Raviin Kumar and I all had fun rooting for you at Kallang Practice Track tonight! 

#WantItMore #BetterYourBest #ASICSSG",0,34,0
157864337622558_1147630651979250,photo,https://www.facebook.com/sohruiyong/photos/a.172796229462702.42103.157864337622558/1147630651979250/?type=3,Timeline Photos,2016-11-08 10:41:09,I was this thrilled at finally doing a long run again with my longtime buddy Dr Suriya Prakaash. One of my best friends both on and off the roads. #MyMan,0,48,0
157864337622558_1146873505388298,photo,https://www.facebook.com/sohruiyong/photos/a.172796229462702.42103.157864337622558/1146873505388298/?type=3,Timeline Photos,2016-11-07 16:42:26,"When you hold track races at night, photos are more epic, weather is more conducive for good performances, and spectating crowds are bigger. 

If you're not hosting a meet that's spectator friendly, you don't know track. 
157864337622558_1133852510023731,photo,https://www.facebook.com/sohruiyong/photos/a.172796229462702.42103.157864337622558/1133852510023731/?type=3,Timeline Photos,2016-10-24 11:06:32,"Won a tactical 10000m at Singapore Athletics #Interclub2016 with a 1:37 last 600m (65sec last 400m). Memorable duel with Nimesh Gurung of Nepal who went toe-to-toe with me for 24 of the 25 laps of the track. Great competitor, fantastic crowd, beautiful night. 

#WantItMore #SingaporeAthletics 

Photo cred: @_xyzphoto",2,209,3,1133852510023731_1133890963353219,2016-10-24 12:37:12,Well done！💪,Anthony Wee (1517152278298597),0
157864337622558_1133852510023731,photo,https://www.facebook.com/sohruiyong/photos/a.172796229462702.42103.157864337622558/1133852510023731/?type=3,Timeline Photos,2016-10-24 11:06:32,"Won a tactical 10000m at Singapore Athletics #Interclub2016 with a 1:37 last 600m (65sec last 400m). Memorable duel with Nimesh Gurung of Nepal who went toe-to-toe with me for 24 of the 25 laps of the track. Great competitor, fantastic crowd, beautiful night. 

#WantItMore #SingaporeAthletics 

Photo cred: @_xyzphoto",2,209,3,1133852510023731_1134053290003653,2016-10-24 18:21:57,Awesome job !!! Way to go.,Stan Simmons (10154708323939231),0
157864337622558_1133342653408050,photo,https://www.facebook.com/sohruiyong/photos/a.172796229462702.42103.157864337622558/1133342653408050/?type=3,Timeline Photos,2016-10-23 21:44:06,"Wow. What a night of athletics. SEA Games aside, I don't think I've ever seen this big a crowd show up for a 10000m race on the track in Singapore. 

Big thanks to everyone for making this one to remember. Shout out to Singapore Athletics for finally holding the distance races at night! Now we've all seen how epic night races can be. Together as a community we can #MakeSingaporeAthleticsGreatAgain. 

This is a photo of me probably telling a stupid joke at the start line.

#Interclub2016",2,94,1,1133342653408050_1133348653407450,2016-10-23 21:52:46,It appears the interest is growing in Singapore. I really hope it continue. You are a great example and motivator for others who want to follow this career path.,Stan Simmons (10154708323939231),4
157864337622558_1132831716792477,status,<no link>,<no name>,2016-10-23 07:55:12,"A 40min run with Aleksandar Duric is just about all the training I've done since Chicago but somehow Jezreel Mok, President of Wings Athletics has convinced me to do this interclub 10,000m tonight at 7:10pm. 

Will be going up against Nimesh Gurung of Nepal / Police Sports Academy, who won the 5000m by a huge margin last night. 

Should be a fun head-to-head battle. Come catch it if you can! Venue is Kallang Practice Track.

#SAInterClub2016",1,35,2,1132831716792477_1133109136764735,2016-10-23 15:08:05,Glad to see you in action later.,Ting Tuck Wai (10154687689938609),0
157864337622558_1132831716792477,status,<no link>,<no name>,2016-10-23 07:55:12,"A 40min run with Aleksandar Duric is just about all the training I've done since Chicago but somehow Jezreel Mok, President of Wings Athletics has convinced me to do this interclub 10,000m tonight at 7:10pm. 

Will be going up against Nimesh Gurung of Nepal / Police Sports Academy, who won the 5000m by a huge margin last night. 

Should be a fun head-to-head battle. Come catch it if you can! Venue is Kallang Practice Track.

#SAInterClub2016",1,35,2,1132831716792477_1137097873032528,2016-10-28 07:36:27,💪🏻💪🏻💪🏻,Rita Cheok (10209290773320767),0
157864337622558_1132034990205483,photo,https://www.facebook.com/sohruiyong/photos/a.172796229462702.42103.157864337622558/1132034990205483/?type=3,Timeline Photos,2016-10-22 12:14:46,"Dare to be different, and dare to dream.
You're better than you think, 
And stronger than you seem.",1,105,0
157864337622558_1130351080373874,photo,https://www.facebook.com/sohruiyong/photos/a.172796229462702.42103.157864337622558/1130351080373874/?type=3,Timeline Photos,2016-10-20 17:15:31,"Reunited with my brother Divian for ""The Good Word Project"" - a series of video clips telling the lives of Singaporeans.  Check it out on Thursday, 27 Oct! #WeAreMajulah",0,31,0
157864337622558_1129053577170291,link,http://www.runsohfast.com/single-post/2016/10/19/22455---Back-from-the-Dead,2:24:55 - Back from the Dead | RunSohFast - Official Website and Blog of Soh Rui Yong,2016-10-19 06:00:20,"A plantar fascia tear in March. A stress reaction in May. A personal best marathon in October.

My 2016 story here.

Thank you to all my supporters - this would not have been possible without you.

Next up, starting a new job with Sport Singapore, and getting ready for KL 2017 29th SEA Games!",3,145,2,1129053577170291_1129065010502481,2016-10-19 06:24:23,Fantastic write up. 😀😀😀,Linus Chia (10154741037339343),0
157864337622558_1129053577170291,link,http://www.runsohfast.com/single-post/2016/10/19/22455---Back-from-the-Dead,2:24:55 - Back from the Dead | RunSohFast - Official Website and Blog of Soh Rui Yong,2016-10-19 06:00:20,"A plantar fascia tear in March. A stress reaction in May. A personal best marathon in October.

My 2016 story here.

Thank you to all my supporters - this would not have been possible without you.

Next up, starting a new job with Sport Singapore, and getting ready for KL 2017 29th SEA Games!",3,145,2,1129053577170291_1129137133828602,2016-10-19 08:34:40,Congratulations on the new job Rui Yong Soh!!!,Alexander Winifred (802313329911548),0
157864337622558_1128074720601510,link,http://m.todayonline.com/sports/budding-athlete-aims-power-past-lifes-obstacles,Budding athlete aims to power past life’s obstacles,2016-10-18 12:00:48,Some inspiration to get you through the week - I'm super impressed by this boy who has overcome so many challenges off the track to get to where he is today! Puts many of our other problems into perspective.,4,43,1,1128074720601510_1128302527245396,2016-10-18 15:31:13,Indeed inspiring story.,Jessica Barone (1398170633556998),0
157864337622558_1126144500794532,photo,https://www.facebook.com/sohruiyong/photos/a.172796229462702.42103.157864337622558/1126144500794532/?type=3,Timeline Photos,2016-10-16 13:43:47,This was me just 6 months ago. Never stop fighting. #WantItMore,1,91,2,1126144500794532_1126170700791912,2016-10-16 14:31:42,U put many of ur critics to silence with u r amazing run👍,Tp Dezilva (1717329615260629),0
157864337622558_1126144500794532,photo,https://www.facebook.com/sohruiyong/photos/a.172796229462702.42103.157864337622558/1126144500794532/?type=3,Timeline Photos,2016-10-16 13:43:47,This was me just 6 months ago. Never stop fighting. #WantItMore,1,91,2,1126144500794532_1126177104124605,2016-10-16 14:46:09,You're an inspiring athlete!!! Keep it up rui.. 👍🏻👍🏻💪🏻💪🏻,Tin Tin (1721450901511638),0
157864337622558_1125938747481774,photo,https://www.facebook.com/sohruiyong/photos/a.172796229462702.42103.157864337622558/1125938747481774/?type=3,Timeline Photos,2016-10-16 08:20:19,"Been living out of a luggage the past 10 weeks since moving to Flagstaff to get ready for the Chicago Marathon. Not always an ideal situation but one good thing is that not much packing is needed when I leave today. 

Seeya soon, Singapore! 🇸🇬

#HomewardBound",0,67,0
157864337622558_1123992507676398,link,http://www.straitstimes.com/sport/from-private-pain-to-personal-best,Athletics: From private pain to personal best,2016-10-14 08:33:12,"11 months of injury and the worst year of running in my life was followed by the best marathon I've ever run.

May Chen of The Straits Times documents my roller coaster 2016.

""It ain't about how hard you can hit. It's about how hard you can get hit, and keep moving forward. That's how winning is done."" - Rocky",0,104,1,1123992507676398_1124140164328299,2016-10-14 12:53:43,Great story to inspire others with!,Andrew Cheong (10154293066294412),0
157864337622558_1122888917786757,link,http://m.todayonline.com/seagames/marathon-man-soh-sets-three-targets-himself-after-successful-chicago-outing,Marathon man Soh reckons he will break national record soon,2016-10-13 06:47:11,"Big thanks to all the journalists who stayed up late in Singapore to cover the Chicago Marathon as it unfolded live on Sunday night. 

This article by Adelene Wong forecasts the impending showdown at next year's SEA Games in Kuala Lumpur, Malaysia, between myself and reigning 10000m champion Agus Prayogo of Indonesia (PBs: 14:02, 29:25, 67:01, 2:21:07). He was one of my idols growing up, and though I've raced him a few times at shorter distances, I have never beaten him. Looking forward to our first duel at the marathon. Whatever the result, I'm sure we'll meet up for ayam penyet again after the race. :p

With Boonthueng Srisang of Thailand (2:24:01) and Eduardo Buenavista of the Philippines (2:18:53) in the mix as well, this looks to be one of the strongest SEA Games marathon fields to ever be assembled. Looking forward to August 2017 already! 

#SEAGames2017 #RoadToKL",1,110,1,1122888917786757_1122959447779704,2016-10-13 08:43:19,I enjoyed reading the article. Great to see you coming back positive and stronger. May you achieve all that you set out to do!,Andrew Cheong (10154293066294412),0,1122888917786757_1122969411112041,2016-10-13 08:55:05,Thank you uncle Andrew!,Soh Rui Yong (157864337622558),0
157864337622558_1122888917786757,link,http://m.todayonline.com/seagames/marathon-man-soh-sets-three-targets-himself-after-successful-chicago-outing,Marathon man Soh reckons he will break national record soon,2016-10-13 06:47:11,"Big thanks to all the journalists who stayed up late in Singapore to cover the Chicago Marathon as it unfolded live on Sunday night. 

This article by Adelene Wong forecasts the impending showdown at next year's SEA Games in Kuala Lumpur, Malaysia, between myself and reigning 10000m champion Agus Prayogo of Indonesia (PBs: 14:02, 29:25, 67:01, 2:21:07). He was one of my idols growing up, and though I've raced him a few times at shorter distances, I have never beaten him. Looking forward to our first duel at the marathon. Whatever the result, I'm sure we'll meet up for ayam penyet again after the race. :p

With Boonthueng Srisang of Thailand (2:24:01) and Eduardo Buenavista of the Philippines (2:18:53) in the mix as well, this looks to be one of the strongest SEA Games marathon fields to ever be assembled. Looking forward to August 2017 already! 

#SEAGames2017 #RoadToKL",1,110,1,1122888917786757_1122959447779704,2016-10-13 08:43:19,I enjoyed reading the article. Great to see you coming back positive and stronger. May you achieve all that you set out to do!,Andrew Cheong (10154293066294412),0,1122888917786757_1122971747778474,2016-10-13 08:59:21,Uncle?? Hahaha. Hunkle maybe lah. Age is just a number,Andrew Cheong (10154293066294412),3
157864337622558_1122246811184301,photo,https://www.facebook.com/sohruiyong/photos/a.172796229462702.42103.157864337622558/1122246811184301/?type=3,Timeline Photos,2016-10-12 12:26:34,"Trying to sprint after 41km of running to break 2:25.

Used the ASICS Gel-Hyperspeed 7 for Bank of America Chicago Marathon and it propelled me to a 2:24:55 national record. Enough cushioning to protect my feet over the distance, yet super lightweight, allowing speed to be unleashed when needed. Like when I covered the final kilometre in 3:20 to squeeze under the 2:25:00 mark. 

Definitely recommend it to anyone looking for a racing shoe - easily the best I've ever worn. 

#WantItMore #ChiMarathon",2,146,7,1122246811184301_1122249674517348,2016-10-12 12:32:23,BBBMTL!,Melvin Ho (10154197114268460),0
157864337622558_1122246811184301,photo,https://www.facebook.com/sohruiyong/photos/a.172796229462702.42103.157864337622558/1122246811184301/?type=3,Timeline Photos,2016-10-12 12:26:34,"Trying to sprint after 41km of running to break 2:25.

Used the ASICS Gel-Hyperspeed 7 for Bank of America Chicago Marathon and it propelled me to a 2:24:55 national record. Enough cushioning to protect my feet over the distance, yet super lightweight, allowing speed to be unleashed when needed. Like when I covered the final kilometre in 3:20 to squeeze under the 2:25:00 mark. 

Definitely recommend it to anyone looking for a racing shoe - easily the best I've ever worn. 

#WantItMore #ChiMarathon",2,146,7,1122246811184301_1122251681183814,2016-10-12 12:38:17,"You know,I can't help but to think that asics are among the best shoes for racing. My asics racer 11 pushed me into several pbs ^^",Yi Heng (10154793284283395),3
157864337622558_1122246811184301,photo,https://www.facebook.com/sohruiyong/photos/a.172796229462702.42103.157864337622558/1122246811184301/?type=3,Timeline Photos,2016-10-12 12:26:34,"Trying to sprint after 41km of running to break 2:25.

Used the ASICS Gel-Hyperspeed 7 for Bank of America Chicago Marathon and it propelled me to a 2:24:55 national record. Enough cushioning to protect my feet over the distance, yet super lightweight, allowing speed to be unleashed when needed. Like when I covered the final kilometre in 3:20 to squeeze under the 2:25:00 mark. 

Definitely recommend it to anyone looking for a racing shoe - easily the best I've ever worn. 

#WantItMore #ChiMarathon",2,146,7,1122246811184301_1122291021179880,2016-10-12 14:09:55,"Nice backdrop . "" new record coming soon """,Francis Tan (10208858664036488),0
